cluster_id,month,so2_mean,so2_max
0,2023-01-01,0,0
0,2023-02-01,0,0
0,2023-03-01,0,0
0,2023-04-01,0,0
0,2023-05-01,0,0
0,2023-06-01,0,0
0,2023-07-01,0,0
0,2023-08-01,0,0
0,2023-09-01,0,0
0,2023-10-01,0,0
0,2023-11-01,0,0
0,2023-12-01,0,0
0,2024-01-01,0,0
0,2024-02-01,0,0
0,2024-03-01,0,0
0,2024-04-01,0,0
0,2024-05-01,0,0
0,2024-06-01,0,0
1,2023-01-01,0,0
1,2023-02-01,0,0
1,2023-03-01,0,0
1,2023-04-01,0,0
1,2023-05-01,0,0
1,2023-06-01,0,0
1,2023-07-01,0,0
1,2023-08-01,0,0
1,2023-09-01,0,0
1,2023-10-01,0,0
1,2023-11-01,0,0
1,2023-12-01,0,0
1,2024-01-01,0,0
1,2024-02-01,0,0
1,2024-03-01,0,0
1,2024-04-01,0,0
1,2024-05-01,0,0
1,2024-06-01,0,0
2,2023-01-01,0,0
2,2023-02-01,0,0
2,2023-03-01,0,0
2,2023-04-01,0,0
2,2023-05-01,0,0
2,2023-06-01,0,0
2,2023-07-01,0,0
2,2023-08-01,0,0
2,2023-09-01,0,0
2,2023-10-01,0,0
2,2023-11-01,0,0
2,2023-12-01,0,0
2,2024-01-01,0,0
2,2024-02-01,0,0
2,2024-03-01,0,0
2,2024-04-01,0,0
2,2024-05-01,0,0
2,2024-06-01,0,0
4,2023-01-01,0,0
4,2023-02-01,0,0
4,2023-03-01,0,0
4,2023-04-01,0,0
4,2023-05-01,0,0
4,2023-06-01,0,0
4,2023-07-01,0,0
4,2023-08-01,0,0
4,2023-09-01,0,0
4,2023-10-01,0,0
4,2023-11-01,0,0
4,2023-12-01,0,0
4,2024-01-01,0,0
4,2024-02-01,0,0
4,2024-03-01,0,0
4,2024-04-01,0,0
4,2024-05-01,0,0
4,2024-06-01,0,0
5,2023-01-01,0,0
5,2023-02-01,0,0
5,2023-03-01,0,0
5,2023-04-01,0,0
5,2023-05-01,0,0
5,2023-06-01,0,0
5,2023-07-01,0,0
5,2023-08-01,0,0
5,2023-09-01,0,0
5,2023-10-01,0,0
5,2023-11-01,0,0
5,2023-12-01,0,0
5,2024-01-01,0,0
5,2024-02-01,0,0
5,2024-03-01,0,0
5,2024-04-01,0,0
5,2024-05-01,0,0
5,2024-06-01,0,0
6,2023-01-01,0,0
6,2023-02-01,0,0
6,2023-03-01,0,0
6,2023-04-01,0,0
6,2023-05-01,0,0
6,2023-06-01,0,0
6,2023-07-01,0,0
6,2023-08-01,0,0
6,2023-09-01,0,0
6,2023-10-01,0,0
6,2023-11-01,0,0
6,2023-12-01,0,0
6,2024-01-01,0,0
6,2024-02-01,0,0
6,2024-03-01,0,0
6,2024-04-01,0,0
6,2024-05-01,0,0
6,2024-06-01,0,0
